,motor_name,motor_price,listing_type,brand,model,engine_cap,classification,reg_date,coe_exp_date,mileage,no_of_owners,type_of_vehicle
861,Ducati 1299 Panigale R Final Edition,0,-,Ducati,Ducati 1299 Panigale R Final Edition,1285cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
862,Ducati 959 Panigale,0,-,Ducati,Ducati 959 Panigale,955cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
863,Ducati 959 Panigale Corse,0,-,Ducati,Ducati 959 Panigale Corse,955cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
864,Ducati Diavel 1260,0,-,Ducati,Ducati Diavel 1260,1262cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
865,Ducati Diavel 1260 Lamborghini,0,-,Ducati,Ducati Diavel 1260 Lamborghini,1262cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
866,Ducati Diavel 1260 S,0,-,Ducati,Ducati Diavel 1260 S,1262cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
867,Ducati Diavel Carbon,0,-,Ducati,Ducati Diavel Carbon,1198cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
868,Ducati Diavel Diesel,0,-,Ducati,Ducati Diavel Diesel,1198cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
869,Ducati Hypermotard 950,0,-,Ducati,Ducati Hypermotard 950,937cc,Class 2,00/00/00,00/00/00,0km,0,Super Motards
870,Ducati Hypermotard 950 RVE,0,-,Ducati,Ducati Hypermotard 950 RVE,937cc,Class 2,00/00/00,00/00/00,0km,0,Super Motards
871,Ducati Hypermotard 950 SP,0,-,Ducati,Ducati Hypermotard 950 SP,937cc,Class 2,00/00/00,00/00/00,0km,0,Super Motards
872,Ducati Monster 1200,0,-,Ducati,Ducati Monster 1200,1198cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
873,Ducati Monster 1200 25°Anniversario,0,-,Ducati,Ducati Monster 1200 25°Anniversario,1198cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
