,motor_name,motor_price,Brand,model,engine_cap,classification,type_of_vehicle
254,Royal Enfield Himalayan,15888,royal enfield,Royal Enfield Himalayan,411,Class 2,Street Bikes
255,Yamaha Tmax 530,12800,yamaha,Yamaha Tmax 530,530,Class 2,Scooters
256,Triumph Speed Twin,36800,triumph,Triumph Speed Twin,1197,Class 2,Street Bikes
257,Yamaha FZ8-S,9800,yamaha,Yamaha FZ8-S,779,Class 2,Street Bikes
258,Yamaha Nmax 155,10888,yamaha,Yamaha Nmax 155,155,Class 2B,Scooters
259,Honda CB400 Super 4 Spec 3,6588,honda,Honda CB400 Super 4 Spec 3,399,Class 2A,Street Bikes
260,Lambretta V200 Special,12800,lambretta,Lambretta V200 Special,169,Class 2B,Scooters
261,BMW K1300GT,29500,bmw,BMW K1300GT,1293,Class 2,Sport Tourers
262,Honda CB190SS,15800,honda,Honda CB190SS,184,Class 2B,Street Bikes
263,Honda CB400X,22950,honda,Honda CB400X,399,Class 2A,Sport Tourers
264,Honda Adv 150,13800,honda,Honda Adv 150,149,Class 2B,Scooters
265,Harley Davidson Fat Boy 114,56900,harley davidson,Harley Davidson Fat Boy 114,1868,Class 2,Cruiser
266,Honda CB400 Super 4 Revo,19000,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
267,SYM Jet 14 200i ABS,8800,sym,SYM Jet 14 200i ABS,169,Class 2B,Scooters
268,Vespa SPRI,10888,vespa,Vespa SPRI,150,Class 2B,Scooters
269,Suzuki GSX-R1000,17888,suzuki,Suzuki GSX-R1000,999,Class 2,Sport Bikes
270,Yamaha Xmax 300,20900,yamaha,Yamaha Xmax 300,292,Class 2A,Scooters
271,BMW G310GS,15888,bmw,BMW G310GS,313,Class 2A,Sport Tourers
272,BMW R1200CL,17000,bmw,BMW R1200CL,1170,Class 2,Cruiser
273,BMW R1200ST,17500,bmw,BMW R1200ST,1170,Class 2,Sport Tourers
274,BMW F800GS,22800,bmw,BMW F800GS,798,Class 2,Sport Tourers
275,Yamaha XT1200Z Super Tenere,16800,yamaha,Yamaha XT1200Z Super Tenere,1199,Class 2,Sport Tourers
276,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers
277,Honda CB400 Super 4 Revo,19500,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
278,Honda GL1800A Goldwing,38800,honda,Honda GL1800A Goldwing,1832,Class 2,Sport Tourers
279,Honda CB150R ExMotion,16700,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
280,Daelim XQ250,13500,daelim,Daelim XQ250,247,Class 2A,Scooters
281,Honda CBR1000RR,14500,honda,Honda CBR1000RR,999,Class 2,Sport Bikes
282,Honda VFR800X CrossRunner,15888,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers
283,Yamaha XSR155,16800,yamaha,Yamaha XSR155,155,Class 2B,Street Bikes
